created_at,text,source,id_str,retweet_count,favorite_count
Thu Jul 10 16:07:44 +0000 2014,Attain deliverance in disturbances.,Zen Master Kyong Ho,487266932580548000,51,45
Thu Jul 10 13:07:09 +0000 2014,When you run in fear, it's square into the wall.,Byron Katie,487221488056274000,58,46
Thu Jul 10 10:07:13 +0000 2014,All the things that truly matter - beauty, love, creativity, joy, inner peace - arise from beyond the mind.,Eckhart Tolle,487176205188464000,141,125
Thu Jul 10 07:07:26 +0000 2014,The nature of the mind is emptiness, the unified state of being both cognizant and empty.,Chokyi Nyima Rinpoche,487130961562591000,26,25
Thu Jul 10 04:07:51 +0000 2014,If you obtain what you desire, does it make you happy?,Scott Shaw,487085769719177000,48,52
Thu Jul 10 01:07:13 +0000 2014,Just remember, when you should grab something, grab it; when you should let go, let go.,Taoist Proverb,487040310871330000,112,121
Wed Jul 09 22:07:16 +0000 2014,Suffering follows an evil thought as the wheels of a cart follow the oxen that draws it.,The Buddha,486995024643887000,38,42
Wed Jul 09 19:07:32 +0000 2014,The happiness of one's own heart alone cannot satisfy the soul; one must include the happiness of others.,Paramahansa Yogananda,486949791935778000,88,81
Wed Jul 09 16:07:44 +0000 2014,Renounce unethical forms of livelihood, and sustain yourself according to the Dharma.,Atisha Dipamkara,486904545554227000,21,19
Wed Jun 18 13:07:12 +0000 2014,Distracting enjoyments have no essence, therefore sincerely practice giving.,Atisha,479248968288059000,15,13
Wed Jun 18 10:08:30 +0000 2014,We carry with us the wonders we seek without us.,Sir ThomasBrowne,479203995597418000,16,16
Wed Jun 18 07:07:44 +0000 2014,Attachment is a manufacturer of illusion and whoever wants reality ought to be detached.,Simone Weil,479158503001837000,29,37
Wed Jun 18 04:08:48 +0000 2014,Follow your bliss and don't be afraid. Doors will open where you didn't know they were going to be.,Joseph Campbell,479113474329837000,52,62
Wed Jun 18 01:08:29 +0000 2014,When you seek it, you cannot find it.,Zen Proverb,479068097744490000,53,60
Tue Jun 17 22:07:48 +0000 2014,If you would not turn your back on the Way, do not follow the world.,Takuan,479022624870506000,13,11
Tue Jun 17 19:08:43 +0000 2014,The more I learn, the more questions I have.,Dan Brown,478977558084861000,39,38
Tue Jun 17 16:08:30 +0000 2014,Things appear without really existing.,Chokyi Nyima Rinpoche,478932204396236000,15,11
Tue Jun 17 13:07:52 +0000 2014,The wind has settled, the blossoms have fallen; Birds sing, the mountains grow dark. This is the wondrous power of Buddhism.,Ryokan,478886748907266000,18,22
Sat Jul 05 04:07:18 +0000 2014,When we encounter suffering, it is important to respond with compassion rather than to question the politics of those we help.,Dalai Lama,485273692830986000,55,66
Sat Jul 05 01:07:13 +0000 2014,Theoretical knowledge has no end.,Chokyi Nyima Rinpoche,485228371883081000,11,14
Fri Jul 04 22:07:09 +0000 2014,Your work is to discover your world and then with all your heart give yourself to it.,The Buddha,485183054487748000,53,62
Fri Jul 04 19:07:12 +0000 2014,The journey is the reward.,Taoist Proverb,485137771020181000,75,79
Fri Jul 04 16:07:32 +0000 2014,It makes sense that no one else can cause you pain. That's your job.,Byron Katie,485092553738682000,25,34
Fri Jul 04 13:07:12 +0000 2014,When someone beats a rug, the blows are not against the rug, but against the dust in it.,Rumi,485047174439665000,34,42
Fri Jul 04 10:07:09 +0000 2014,In the sky there is no distinction of east & west; people create distinctions out of their own minds & believe them to be true.,Buddha,485001864023654000,71,71
Fri Jul 04 07:07:07 +0000 2014,The tighter you squeeze, the less you have.,Zen Proverb,484956555729981000,35,43
